Time (Seconds),Blue Pixel Count
0,1587
1,8073
2,7451
3,7444
4,7448
5,7452
6,7456
7,7437
8,7409
9,7376
10,7362
11,7377
12,7383
13,7299
14,7295
15,7274
16,7180
17,7141
18,7074
19,7069
20,6956
21,6785
22,6683
23,6442
24,6237
25,5858
26,5136
27,2786
28,1235
29,522
30,247
31,209
32,184
33,152
34,141
35,120
36,110
37,87
38,74
39,67
40,51
41,42
42,29
43,24
44,21
45,9
46,14
