Time (Seconds),Blue Pixel Count
0,490
1,671
2,418
3,490
4,444
5,349
6,478
7,433
8,453
9,497
10,433
11,390
12,457
13,406
14,524
15,540
16,606
17,626
18,623
19,610
20,571
21,479
22,193
23,271
24,349
25,20
